pmid,max_grade,all_topic_grades
23608443,4,4:4
22421192,4,1:4
23810467,4,7:4
24864047,4,4:4
25056491,4,26:4
28919996,4,"4:4,37:1"
30376465,4,4:4
22968692,4,2:4
28561688,4,3:4
28533223,4,"11:4,12:2,13:4"
29404806,4,14:4
30018031,4,4:4
26925841,4,"4:1,37:4"
30118796,4,"4:4,28:1"
18415014,4,13:4
23850468,4,9:4
30058839,4,27:4
27040704,4,36:4
28017967,4,36:4
23816967,4,15:4
22706123,2,10:2
21097693,2,"7:1,10:2"
28259999,2,1:2
27470608,2,28:2
22977191,2,25:2
25923549,2,16:2
24929884,2,35:2
24825122,2,6:2
29731638,2,15:2
28778132,2,32:2
23997941,2,"1:2,30:1"
28454726,2,1:2
24716227,2,20:2
26500849,2,36:2
28857200,2,20:2
25941111,2,"12:1,13:2"
21691147,2,20:2
28649895,2,13:2
29895102,2,"7:1,10:2"
30522378,2,10:2
22553343,1,29:1
29567272,1,7:1
26557768,1,15:1
27841077,1,2:1
29245989,1,"11:1,13:1"
26348626,1,22:1
27920501,1,15:1
11812097,1,6:1
21049085,1,18:1
19638574,1,27:1
29153893,1,11:1
22214462,1,27:1
27784815,1,2:1
17483355,1,29:1
30368411,1,29:1
25769807,1,29:1
28138934,1,17:1
27884198,1,7:1
22179180,1,27:1
26389028,1,35:1
